name	version	license	repository
dashu-base	0.4.3	MIT OR Apache-2.0	https://github.com/cmpute/dashu
dashu-float	0.4.5	MIT OR Apache-2.0	https://github.com/cmpute/dashu
dashu-int	0.4.3	MIT OR Apache-2.0	https://github.com/cmpute/dashu
dashu-macros	0.4.2	MIT OR Apache-2.0	https://github.com/cmpute/dashu
dashu-ratio	0.4.4	MIT OR Apache-2.0	https://github.com/cmpute/dashu
dashu	0.4.4	MIT OR Apache-2.0	https://github.com/cmpute/dashu
debugid	0.8.0	Apache-2.0	https://github.com/getsentry/rust-debugid
deepsize2	0.1.0	MIT	https://github.com/nhtyy/deepsize/
deepsize_derive2	0.1.0	MIT	https://github.com/nhtyy/deepsize/
der	0.7.10	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/der
deranged	0.5.8	MIT OR Apache-2.0	https://github.com/jhpratt/deranged
derive-where	1.6.1	MIT OR Apache-2.0	https://github.com/ModProg/derive-where
derive_more-impl	1.0.0	MIT	https://github.com/JelteF/derive_more
derive_more	1.0.0	MIT	https://github.com/JelteF/derive_more
digest	0.10.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits
dirs-sys	0.4.1	MIT OR Apache-2.0	https://github.com/dirs-dev/dirs-sys-rs
dirs	5.0.1	MIT OR Apache-2.0	https://github.com/soc/dirs-rs
displaydoc	0.2.7	MIT OR Apache-2.0	https://github.com/yaahc/displaydoc
downcast-rs	1.2.1	MIT/Apache-2.0	https://github.com/marcianx/downcast-rs
dynasm	3.2.1	MPL-2.0	https://github.com/CensoredUsername/dynasm-rs
dynasmrt	3.2.1	MPL-2.0	https://github.com/CensoredUsername/dynasm-rs
ecdsa	0.16.9	Apache-2.0 OR MIT	https://github.com/RustCrypto/signatures/tree/master/ecdsa
either	1.18.0	MIT OR Apache-2.0	https://github.com/rayon-rs/either
elf	0.7.4	MIT/Apache-2.0	https://github.com/cole14/rust-elf/
elliptic-curve	0.13.8	Apache-2.0 OR MIT	https://github.com/RustCrypto/traits/tree/master/elliptic-curve
encode_unicode	1.0.0	Apache-2.0 OR MIT	https://github.com/tormol/encode_unicode
enum-map-derive	0.17.0	MIT OR Apache-2.0	https://codeberg.org/xfix/enum-map
enum-map	2.7.3	MIT OR Apache-2.0	https://codeberg.org/xfix/enum-map
equivalent	1.0.2	Apache-2.0 OR MIT	https://github.com/indexmap-rs/equivalent
errno	0.3.14	MIT OR Apache-2.0	https://github.com/lambda-fairy/rust-errno
eventsource-stream	0.2.3	MIT OR Apache-2.0	https://github.com/jpopesculian/eventsource-stream
eyre	0.6.14	MIT OR Apache-2.0	https://github.com/eyre-rs/eyre
fastrand	2.5.0	Apache-2.0 OR MIT	https://github.com/smol-rs/fastrand
fd-lock	4.0.4	MIT OR Apache-2.0	https://github.com/yoshuawuyts/fd-lock
ff	0.13.1	MIT/Apache-2.0	https://github.com/zkcrypto/ff
ff_derive	0.13.1	MIT/Apache-2.0	https://github.com/zkcrypto/ff
find-msvc-tools	0.1.11	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
fixedbitset	0.5.7	MIT OR Apache-2.0	https://github.com/petgraph/fixedbitset
flate2	1.1.9	MIT OR Apache-2.0	https://github.com/rust-lang/flate2-rs
fnv	1.0.7	Apache-2.0 / MIT	https://github.com/servo/rust-fnv
foldhash	0.1.5	Zlib	https://github.com/orlp/foldhash
form_urlencoded	1.2.2	MIT OR Apache-2.0	https://github.com/servo/rust-url
funty	2.0.0	MIT	https://github.com/myrrlyn/funty
futures-channel	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-core	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-executor	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-io	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-macro	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-sink	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-task	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-util	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
gcd	2.3.0	MIT/Apache-2.0	https://github.com/frewsxcv/rust-gcd
gecko_profile	0.4.0	MIT/Apache-2.0	https://github.com/mstange/perfrecord/
gen_ops	0.4.0	MIT	https://github.com/K-Vinayak/gen_ops
generic-array	0.14.7	MIT	https://github.com/fizyk20/generic-array.git
generic-array	1.1.0	MIT	https://github.com/fizyk20/generic-array.git
getrandom	0.2.17	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
getrandom	0.4.3	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
gimli	0.32.3	MIT OR Apache-2.0	https://github.com/gimli-rs/gimli
group	0.13.0	MIT/Apache-2.0	https://github.com/zkcrypto/group
h2	0.4.19	MIT	https://github.com/hyperium/h2
hashbrown	0.12.3	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hashbrown	0.14.5	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hashbrown	0.15.5	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hashbrown	0.17.1	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
heck	0.5.0	MIT OR Apache-2.0	https://github.com/withoutboats/heck
hermit-abi	0.5.2	MIT OR Apache-2.0	https://github.com/hermit-os/hermit-rs
hex	0.4.3	MIT OR Apache-2.0	https://github.com/KokaKiwi/rust-hex
hmac	0.12.1	MIT OR Apache-2.0	https://github.com/RustCrypto/MACs
http-body-util	0.1.5	MIT	https://github.com/hyperium/http-body
http-body	1.1.0	MIT	https://github.com/hyperium/http-body
http	1.5.0	MIT OR Apache-2.0	https://github.com/hyperium/http
httparse	1.10.1	MIT OR Apache-2.0	https://github.com/seanmonstar/httparse
httpdate	1.0.3	MIT OR Apache-2.0	https://github.com/pyfisch/httpdate
hyper-rustls	0.27.9	Apache-2.0 OR ISC OR MIT	https://github.com/rustls/hyper-rustls
hyper-timeout	0.5.2	MIT OR Apache-2.0	https://github.com/hjr3/hyper-timeout
hyper-util	0.1.20	MIT	https://github.com/hyperium/hyper-util
hyper	1.11.0	MIT	https://github.com/hyperium/hyper
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone
iana-time-zone	0.1.65	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone
icu_collections	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_locale_core	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_normalizer	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_normalizer_data	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_properties	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_properties_data	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_provider	2.3.1	Unicode-3.0	https://github.com/unicode-org/icu4x
idna	1.1.0	MIT OR Apache-2.0	https://github.com/servo/rust-url/
idna_adapter	1.2.2	Apache-2.0 OR MIT	https://github.com/hsivonen/idna_adapter
impl-trait-for-tuples	0.2.3	Apache-2.0/MIT	https://github.com/bkchr/impl-trait-for-tuples
indenter	0.3.4	MIT OR Apache-2.0	https://github.com/yaahc/indenter
indexmap	1.9.3	Apache-2.0 OR MIT	https://github.com/bluss/indexmap
indexmap	2.14.0	Apache-2.0 OR MIT	https://github.com/indexmap-rs/indexmap
indicatif	0.17.11	MIT	https://github.com/console-rs/indicatif
ipnet	2.12.1	MIT OR Apache-2.0	https://github.com/krisprice/ipnet
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	https://github.com/polyfill-rs/is_terminal_polyfill
itertools	0.12.1	MIT OR Apache-2.0	https://github.com/rust-itertools/itertools
itertools	0.14.0	MIT OR Apache-2.0	https://github.com/rust-itertools/itertools
itoa	1.0.18	MIT OR Apache-2.0	https://github.com/dtolnay/itoa
js-sys	0.3.104	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys
k256	0.13.4	Apache-2.0 OR MIT	https://github.com/RustCrypto/elliptic-curves/tree/master/k256
konst	0.2.20	Zlib	https://github.com/rodrimati1992/konst/
konst_macro_rules	0.2.19	Zlib	https://github.com/rodrimati1992/konst/
lazy_static	1.5.0	MIT OR Apache-2.0	https://github.com/rust-lang-nursery/lazy-static.rs
libc	0.2.189	MIT OR Apache-2.0	https://github.com/rust-lang/libc
libredox	0.1.20	MIT	https://gitlab.redox-os.org/redox-os/libredox.git
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/sunfishcode/linux-raw-sys
litemap	0.8.3	Unicode-3.0	https://github.com/unicode-org/icu4x
lock_api	0.4.14	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
log	0.4.34	MIT OR Apache-2.0	https://github.com/rust-lang/log
lru-slab	0.1.2	MIT OR Apache-2.0 OR Zlib	https://github.com/Ralith/lru-slab
lru	0.12.5	MIT	https://github.com/jeromefroe/lru-rs.git
mach2	0.4.3	BSD-2-Clause OR MIT OR Apache-2.0	https://github.com/JohnTitor/mach2
matchers	0.2.0	MIT	https://github.com/hawkw/matchers
matchit	0.7.3	MIT AND BSD-3-Clause	https://github.com/ibraheemdev/matchit
md-5	0.10.6	MIT OR Apache-2.0	https://github.com/RustCrypto/hashes
memchr	2.8.3	Unlicense OR MIT	https://github.com/BurntSushi/memchr
memfd	0.6.5	MIT OR Apache-2.0	https://github.com/lucab/memfd-rs
memmap2	0.9.11	MIT OR Apache-2.0	https://github.com/RazrFalcon/memmap2-rs
mime	0.3.17	MIT OR Apache-2.0	https://github.com/hyperium/mime
minimal-lexical	0.2.1	MIT/Apache-2.0	https://github.com/Alexhuszagh/minimal-lexical
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
mio	1.2.2	MIT	https://github.com/tokio-rs/mio
mti	1.1.1	MIT OR Apache-2.0	https://github.com/GovCraft/mti
multimap	0.10.1	MIT OR Apache-2.0	https://github.com/havarnov/multimap
nom	7.1.3	MIT	https://github.com/Geal/nom
ntapi	0.4.3	Apache-2.0 OR MIT	https://github.com/MSxDOS/ntapi
nu-ansi-term	0.50.3	MIT	https://github.com/nushell/nu-ansi-term
num-bigint	0.3.3	MIT OR Apache-2.0	https://github.com/rust-num/num-bigint
num-bigint	0.4.8	MIT OR Apache-2.0	https://github.com/rust-num/num-bigint
num-complex	0.4.6	MIT OR Apache-2.0	https://github.com/rust-num/num-complex
num-conv	0.2.2	MIT OR Apache-2.0	https://github.com/jhpratt/num-conv
num-integer	0.1.47	MIT OR Apache-2.0	https://github.com/rust-num/num-integer
num-iter	0.1.46	MIT OR Apache-2.0	https://github.com/rust-num/num-iter
num-modular	0.6.5	Apache-2.0	https://github.com/cmpute/num-modular
num-order	1.2.0	Apache-2.0	https://github.com/cmpute/num-order
num-rational	0.4.2	MIT OR Apache-2.0	https://github.com/rust-num/num-rational
num-traits	0.2.19	MIT OR Apache-2.0	https://github.com/rust-num/num-traits
num	0.4.3	MIT OR Apache-2.0	https://github.com/rust-num/num
num_cpus	1.17.0	MIT OR Apache-2.0	https://github.com/seanmonstar/num_cpus
num_enum	0.5.11	BSD-3-Clause OR MIT OR Apache-2.0	https://github.com/illicitonion/num_enum
num_enum_derive	0.5.11	BSD-3-Clause OR MIT OR Apache-2.0	https://github.com/illicitonion/num_enum
number_prefix	0.4.0	MIT	https://github.com/ogham/rust-number-prefix
object	0.37.3	Apache-2.0 OR MIT	https://github.com/gimli-rs/object
once_cell	1.21.4	MIT OR Apache-2.0	https://github.com/matklad/once_cell
once_cell_polyfill	1.70.2	MIT OR Apache-2.0	https://github.com/polyfill-rs/once_cell_polyfill
opentelemetry	0.23.0	Apache-2.0	https://github.com/open-telemetry/opentelemetry-rust
option-ext	0.2.0	MPL-2.0	https://github.com/soc/option-ext.git
p256	0.13.2	Apache-2.0 OR MIT	https://github.com/RustCrypto/elliptic-curves/tree/master/p256
p3-air	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-baby-bear	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-bn254-fr	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-challenger	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-commit	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-dft	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-field	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-fri	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-interpolation	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-keccak-air	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-koala-bear	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-matrix	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-maybe-rayon	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-mds	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-merkle-tree	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-poseidon2	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-symmetric	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-uni-stark	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
p3-util	0.4.3-succinct	MIT OR Apache-2.0	https://github.com/Plonky3/Plonky3
pairing	0.23.0	MIT/Apache-2.0	https://github.com/zkcrypto/pairing
parity-scale-codec-derive	3.7.5	Apache-2.0	https://github.com/paritytech/parity-scale-codec
parity-scale-codec	3.7.5	Apache-2.0	https://github.com/paritytech/parity-scale-codec
parking_lot	0.12.5	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
parking_lot_core	0.9.12	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
paste	1.0.15	MIT OR Apache-2.0	https://github.com/dtolnay/paste
pastey	0.2.3	MIT OR Apache-2.0	https://github.com/as1100k/pastey
pem-rfc7468	0.7.0	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/pem-rfc7468
percent-encoding	2.3.2	MIT OR Apache-2.0	https://github.com/servo/rust-url/
petgraph	0.7.1	MIT OR Apache-2.0	https://github.com/petgraph/petgraph
pin-project-internal	1.1.13	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project
pin-project-lite	0.2.17	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project-lite
pin-project	1.1.13	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project
pkcs8	0.10.2	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/pkcs8
portable-atomic	1.15.0	Apache-2.0 OR MIT	https://github.com/taiki-e/portable-atomic
potential_utf	0.1.6	Unicode-3.0	https://github.com/unicode-org/icu4x
powerfmt	0.2.0	MIT OR Apache-2.0	https://github.com/jhpratt/powerfmt
ppv-lite86	0.2.21	MIT OR Apache-2.0	https://github.com/cryptocorrosion/cryptocorrosion
prettyplease	0.2.37	MIT OR Apache-2.0	https://github.com/dtolnay/prettyplease
primeorder	0.13.6	Apache-2.0 OR MIT	https://github.com/RustCrypto/elliptic-curves/tree/master/primeorder
proc-macro-crate	1.3.1	MIT OR Apache-2.0	https://github.com/bkchr/proc-macro-crate
proc-macro-crate	3.5.0	MIT OR Apache-2.0	https://github.com/bkchr/proc-macro-crate
proc-macro-error-attr2	2.0.0	MIT OR Apache-2.0	https://github.com/GnomedDev/proc-macro-error-2
proc-macro-error2	2.0.1	MIT OR Apache-2.0	https://github.com/GnomedDev/proc-macro-error-2
proc-macro2	1.0.107	MIT OR Apache-2.0	https://github.com/dtolnay/proc-macro2
prost-build	0.13.5	Apache-2.0	https://github.com/tokio-rs/prost
prost-derive	0.13.5	Apache-2.0	https://github.com/tokio-rs/prost
prost-types	0.13.5	Apache-2.0	https://github.com/tokio-rs/prost
prost	0.13.5	Apache-2.0	https://github.com/tokio-rs/prost
quinn-proto	0.11.17	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn
quinn-udp	0.5.15	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn
quinn	0.11.11	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn
quote	1.0.47	MIT OR Apache-2.0	https://github.com/dtolnay/quote
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	https://github.com/r-efi/r-efi
radium	0.7.0	MIT	https://github.com/bitvecto-rs/radium
rand	0.10.2	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand	0.8.7	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_chacha	0.3.1	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_core	0.10.1	MIT OR Apache-2.0	https://github.com/rust-random/rand_core
rand_core	0.6.4	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_pcg	0.10.2	MIT OR Apache-2.0	https://github.com/rust-random/rngs
range-set-blaze	0.1.16	MIT OR Apache-2.0	https://github.com/CarlKCarlK/range-set-blaze
rayon-core	1.13.0	MIT OR Apache-2.0	https://github.com/rayon-rs/rayon
rayon-scan	0.1.1	MIT OR Apache-2.0	https://github.com/arieluy/rayon-scan
rayon	1.12.0	MIT OR Apache-2.0	https://github.com/rayon-rs/rayon
redox_syscall	0.5.18	MIT	https://gitlab.redox-os.org/redox-os/syscall
redox_users	0.4.6	MIT	https://gitlab.redox-os.org/redox-os/users
regex-automata	0.4.18	MIT OR Apache-2.0	https://github.com/rust-lang/regex
regex-syntax	0.8.11	MIT OR Apache-2.0	https://github.com/rust-lang/regex
regex	1.13.1	MIT OR Apache-2.0	https://github.com/rust-lang/regex
reqwest	0.12.28	MIT OR Apache-2.0	https://github.com/seanmonstar/reqwest
rfc6979	0.4.0	Apache-2.0 OR MIT	https://github.com/RustCrypto/signatures/tree/master/rfc6979
ring	0.17.14	Apache-2.0 AND ISC	https://github.com/briansmith/ring
rrs-succinct	0.2.0	Apache-2.0	https://github.com/GregAC/rrs/tree/main/rrs-lib
rustc-demangle	0.1.28	MIT/Apache-2.0	https://github.com/rust-lang/rustc-demangle
rustc-hash	2.1.3	Apache-2.0 OR MIT	https://github.com/rust-lang/rustc-hash
rustc-hex	2.1.0	MIT/Apache-2.0	https://github.com/debris/rustc-hex
rustc_version	0.4.1	MIT OR Apache-2.0	https://github.com/djc/rustc-version-rs
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/rustix
rustls-pemfile	2.2.0	Apache-2.0 OR ISC OR MIT	https://github.com/rustls/pemfile
rustls-pki-types	1.15.1	MIT OR Apache-2.0	https://github.com/rustls/pki-types
rustls-webpki	0.103.15	ISC	https://github.com/rustls/webpki
rustls	0.23.43	Apache-2.0 OR ISC OR MIT	https://github.com/rustls/rustls
rustversion	1.0.23	MIT OR Apache-2.0	https://github.com/dtolnay/rustversion
ruzstd	0.8.3	MIT	https://github.com/KillingSpark/zstd-rs
ryu	1.0.23	Apache-2.0 OR BSL-1.0	https://github.com/dtolnay/ryu
scale-info-derive	2.11.6	Apache-2.0	https://github.com/paritytech/scale-info
scale-info	2.11.6	Apache-2.0	https://github.com/paritytech/scale-info
scopeguard	1.2.0	MIT OR Apache-2.0	https://github.com/bluss/scopeguard
sec1	0.7.3	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/sec1
semver	1.0.28	MIT OR Apache-2.0	https://github.com/dtolnay/semver
serde	1.0.229	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_arrays	0.2.0	MIT OR Apache-2.0	https://github.com/Kromey/serde_arrays
serde_core	1.0.229	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_derive	1.0.229	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_json	1.0.151	MIT OR Apache-2.0	https://github.com/serde-rs/json
serde_urlencoded	0.7.1	MIT/Apache-2.0	https://github.com/nox/serde_urlencoded
serdect	0.2.0	Apache-2.0 OR MIT	https://github.com/RustCrypto/formats/tree/master/serdect
serial_test	3.5.0	MIT	https://github.com/palfrey/serial_test/
serial_test_derive	3.5.0	MIT	https://github.com/palfrey/serial_test/
sha1_smol	1.0.1	BSD-3-Clause	https://github.com/mitsuhiko/sha1-smol
sha2	0.10.9	MIT OR Apache-2.0	https://github.com/RustCrypto/hashes
sharded-slab	0.1.7	MIT	https://github.com/hawkw/sharded-slab
shlex	2.0.1	MIT OR Apache-2.0	https://github.com/comex/rust-shlex
signal-hook-registry	1.4.8	MIT OR Apache-2.0	https://github.com/vorner/signal-hook
signature	2.2.0	Apache-2.0 OR MIT	https://github.com/RustCrypto/traits/tree/master/signature
